Girondins de Bordeaux;1881
Olympique de Marseille;1899
Stade Rennais fc;1901
OGC Nice;1904
Sporting Club Bastia;1905
AC Ajaccio;1910
Valenciennes FC;1913
FC Lorient;1926
FC Sochaux;1928
Stade de Reims;1931
AS Saint-Etienne;1933
Toulouse FC;1937
LOSC LILLE;1944
Stade Brestois 29;1950
Olympique Lyonnais;1950
AS Nancy-Lorraine;1967
Paris Saint-Germain;1970
montpellier herault sc;1974
ES Troyes Aube Champagne;1986
Evian Thonon-Gaillard Football Club;2009
AJ AUXERRE;1905
ANGERS SCO;1919
AS MONACO;1924
CLERMONT FOOT 63;1984
FC NANTES;1943
RC LENS;1906
RC STRASBOURG ALSACE;1906
ESTAC TROYES;1986